add-yield-none,12,100000,2400000,804084108,335,18446744073709531030
add-none,1,100,200,105789,528,0
add-none,1,1000,2000,115182,57,0
add-none,1,10000,20000,220810,11,0
add-none,1,100000,200000,1121951,5,0
add-none,1,1000000,2000000,10262625,5,0
add-none,2,100,400,150761,376,0
add-none,2,1000,4000,130348,32,971
add-none,2,10000,40000,597423,14,1526
add-none,2,100000,400000,5043219,12,18446744073709544154
add-none,2,1000000,4000000,35953493,8,188035
add-none,4,100,800,173294,216,0
add-none,4,1000,8000,166593,20,0
add-none,4,10000,80000,754586,9,6494
add-none,4,100000,800000,11364405,14,18446744073709532739
add-none,4,1000000,8000000,62295311,7,510180
add-yield-none,1,100,200,132795,663,0
add-yield-none,1,1000,2000,461602,230,0
add-yield-none,1,10000,20000,2700538,135,0
add-yield-none,1,100000,200000,23825632,119,0
add-yield-none,1,1000000,2000000,246414105,123,0
add-yield-none,2,100,400,153317,383,31
add-yield-none,2,1000,4000,662380,165,657
add-yield-none,2,10000,40000,3448958,86,18446744073709549358
add-yield-none,2,100000,400000,33161739,82,18446744073709541043
add-yield-none,2,1000000,4000000,334566949,83,18446744073709413345
add-yield-none,4,100,800,659512,824,0
add-yield-none,4,1000,8000,1624958,203,0
add-yield-none,4,10000,80000,30576094,382,2206
add-yield-none,4,100000,800000,142329337,177,11283
add-yield-none,4,1000000,8000000,2567277605,320,3832
add-yield-m,2,10000,40000,90632440,2265,0
add-yield-m,4,10000,80000,31126595,389,0
add-yield-m,8,10000,160000,56424683,352,0
add-yield-m,12,10000,240000,118704590,494,0
add-yield-c,2,10000,40000,5340889,133,0
add-yield-c,4,10000,80000,25220087,315,0
add-yield-c,8,10000,160000,154487883,965,0
add-yield-c,12,10000,240000,754268097,3142,0
add-yield-s,2,10000,40000,6526660,163,0
add-yield-s,4,10000,80000,48667282,608,0
add-yield-s,8,1000,16000,87178054,5448,0
add-yield-s,12,1000,24000,113070435,4711,0
add-m,1,10000,20000,417778,20,0
add-m,2,10000,40000,1831123,45,0
add-m,4,10000,80000,2986595,37,0
add-m,8,10000,160000,6720677,42,0
add-m,12,10000,240000,8167205,34,0
add-c,1,10000,20000,247462,12,0
add-c,2,10000,40000,828883,20,0
add-c,4,10000,80000,2022487,25,0
add-c,8,10000,160000,3233699,20,0
add-c,12,10000,240000,7929381,33,0
add-s,1,10000,20000,289927,14,0
add-s,2,10000,40000,1447120,36,0
add-s,4,10000,80000,3753728,46,0
add-s,8,10000,160000,11376235,71,0
add-s,12,10000,240000,15647190,65,0
add-none,2,100,400,114674,286,0
add-none,2,1000,4000,124424,31,552
add-none,2,10000,40000,275226,6,0
add-none,2,100000,400000,4683891,11,18446744073709542513
add-none,4,100,800,152404,190,0
add-none,4,1000,8000,1426069,178,0
add-none,4,10000,80000,627411,7,0
add-none,4,100000,800000,8559969,10,18446744073709532829
add-none,8,100,1600,220960,138,0
add-none,8,1000,16000,374146,23,266
add-none,8,10000,160000,1189275,7,8572
add-none,8,100000,1600000,13025244,8,124588
add-none,12,100,2400,573746,239,0
add-none,12,1000,24000,391452,16,1775
add-none,12,10000,240000,2711877,11,14621
add-none,12,100000,2400000,23359759,9,58602
add-yield-none,2,10,40,145044,3626,2
add-yield-none,4,10,80,199741,2496,0
add-yield-none,8,10,160,245406,1533,0
add-yield-none,12,10,240,652049,2716,0
add-yield-none,2,20,80,132031,1650,0
add-yield-none,4,20,160,4921752,30760,0
add-yield-none,8,20,320,1935210,6047,0
add-yield-none,12,20,480,2036171,4242,0
add-yield-none,2,40,160,2596213,16226,0
add-yield-none,4,40,320,6282484,19632,0
add-yield-none,8,40,640,539539,843,25
add-yield-none,12,40,960,680767,709,32
add-yield-none,2,80,320,121371,379,18446744073709551581
add-yield-none,4,80,640,337075,526,0
add-yield-none,8,80,1280,588606,459,13
add-yield-none,12,80,1920,892113,464,94
add-yield-none,2,100,400,110202,275,32
add-yield-none,4,100,800,387557,484,17
add-yield-none,8,100,1600,660479,412,51
add-yield-none,12,100,2400,1152754,480,25
add-yield-none,2,1000,4000,399422,99,38
add-yield-none,4,1000,8000,2275927,284,217
add-yield-none,8,1000,16000,5425024,339,595
add-yield-none,12,1000,24000,7271836,302,18446744073709550526
add-yield-none,2,10000,40000,3125730,78,18446744073709550961
add-yield-none,4,10000,80000,22391720,279,88
add-yield-none,8,10000,160000,48315782,301,3097
add-yield-none,12,10000,240000,79997449,333,18446744073709551326
add-yield-none,2,100000,400000,27014956,67,18446744073709543982
add-yield-none,4,100000,800000,88047993,110,21052
add-yield-none,8,100000,1600000,462738748,289,10736
add-yield-none,12,100000,2400000,704884399,293,4067
add-none,1,100,200,89215,446,0
add-none,1,1000,2000,111478,55,0
